File Path,Status,Notes,RBAC_Issues,Implementation_Plan
"react\src\feature-module\uiInterface\advanced-ui\stickynote.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\advanced-ui\texteditor.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\advanced-ui\timeline.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\advanced-ui\uiscrollbar.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\accordion.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\alert-ui.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\alert.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\avatar.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\borders.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\badges.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\breadcrumb.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\buttons.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\buttonsgroup.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\cards.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\carousel.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\colors.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\dropdowns.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\grid.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\images.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\lightbox.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\media.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\modals.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\navtabs.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\offcanvas.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\pagination.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\placeholder.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\popover.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\progress.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\rangeslider.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\spinner.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\swiperjs.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\toasts.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\tooltips.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\typography.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\video.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\ui-sortable\cloning.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\ui-sortable\disable-sorting.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\ui-sortable\index.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\ui-sortable\multiple-drag.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\ui-sortable\nested-sortable.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\ui-sortable\shared-list.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\ui-sortable\simple-list.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\ui-sortable\sortable-grid.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\ui-sortable\sorting-handle.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\ui-sortable\sorting-filter.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\base-ui\ui-sortable\swap.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\charts\apexcharts.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\charts\chartjs.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\charts\prime-react-chart.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\forms\formelements\layouts\floating-label.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\forms\formelements\layouts\form-horizontal.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\forms\formelements\layouts\form-select2.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\forms\formelements\layouts\form-validation.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\forms\formelements\layouts\form-vertical.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\forms\formelements\checkbox-radios.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\forms\formelements\basic-inputs.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\forms\formelements\fileupload.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\forms\formelements\form-mask.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\forms\formelements\form-select.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\forms\formelements\form-wizard.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\forms\formelements\formpickers.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\forms\formelements\grid-gutters.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\forms\formelements\input-group.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\icons\bootstrapicons.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\icons\feathericon.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\icons\flagicon.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\icons\flagicons.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\icons\fontawesome.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\icons\ionicicons.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\icons\materialicon.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\icons\pe7icons.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\icons\remixIcons.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\icons\simplelineicon.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\icons\themify.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\icons\typicons.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\icons\weathericons.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\map\leaflet.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\table\data-tables.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\feature-module\uiInterface\table\tables-basic.tsx","➖","UI Interface demo page - no RBAC needed","",""
"react\src\hooks\useAuth.ts","✅","Core authorization hook","",""
"react\src\hooks\useApi.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useSocket.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useProfile.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useProfileRest.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useActivitiesREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useAdminDashboardREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useAttendanceREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useBatchesREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useBudgetsREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useCandidates.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useClients.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useClientsREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useCompanies.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useContacts.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useDeals.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useDepartmentsREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useDesignationsREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useEmployeesREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useHolidayREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useHolidaysREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useHRDashboardREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useJobs.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useKanbanBoard.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useLeadsREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useLeaveREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useLeaveTypesREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useMilestonesREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useOvertimeREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\usePipelinesREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\usePoliciesREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useProjectsREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\usePromotionsREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useResignationsREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useResourcesREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useShiftsREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useSocialFeed.js","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useTasksREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useTaskStatusREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useTerminationsREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useTimesheetsREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useTimeTrackingREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\hooks\useUserProfileREST.ts","➖","Utility hook - no RBAC needed","",""
"react\src\core\common\collapse-header\collapse-header.tsx","➖","Common UI component - no RBAC needed","",""
"react\src\core\common\dataTable\index.tsx","➖","Common UI component - no RBAC needed","",""
"react\src\core\common\EmployeeNameCell\index.tsx","➖","Common UI component - no RBAC needed","",""
"react\src\core\common\footer\index.tsx","➖","Common UI component - no RBAC needed","",""
"react\src\core\common\header\index.tsx","➖","Common UI component - no RBAC needed","",""
"react\src\core\common\horizontal-sidebar\index.tsx","🔄","Horizontal sidebar - needs RBAC migration","Uses hardcoded roles for filtering","Replace with permission-based filtering"
"react\src\core\common\sidebar\index.tsx","🔄","Sidebar component - needs RBAC migration","Uses hardcoded roles for filtering","Replace with permission-based filtering"
"react\src\core\common\stacked-sidebar\index.tsx","➖","Common UI component - no RBAC needed","",""
"react\src\core\components\ErrorBoundary\index.tsx","➖","UI component - no RBAC needed","",""
"react\src\core\components\LoadingStates\index.tsx","➖","UI component - no RBAC needed","",""
"react\src\components\employee\index.ts","➖","UI component - no RBAC needed","",""
"react\src\components\leave\AttachmentUpload.tsx","➖","UI component - no RBAC needed","",""
"react\src\components\leave\DateRangeCalculator.tsx","➖","UI component - no RBAC needed","",""
"react\src\components\DepartmentDesignationSelector.tsx","➖","UI component - no RBAC needed","",""
"react\src\components\HashtagHighlighter.tsx","➖","UI component - no RBAC needed","",""
"react\src\core\data\json\*.tsx","➖","Static data file - no RBAC needed","",""
"react\src\core\data\redux\sidebarSlice.tsx","➖","Redux state - no RBAC needed","",""
"react\src\core\data\redux\store.tsx","➖","Redux state - no RBAC needed","",""
"react\src\core\data\redux\useDashboardData.ts","➖","Redux hook - no RBAC needed","",""
"react\src\core\data\redux\themeSettingSlice.tsx","➖","Redux state - no RBAC needed","",""
"react\src\contexts\NotificationContext.tsx","➖","Context provider - no RBAC needed","",""
"react\src\core\services\performance\*.ts","➖","API service layer - no RBAC needed","",""
"react\src\core\utils\dashboardRoleFilter.ts","❌","Hook contains role-based filtering logic","Hardcoded role filtering","Replace with permission-based filtering"
"react\src\feature-module\pages\error\error-404.tsx","➖","Error page - no RBAC needed","",""
"react\src\feature-module\pages\error\error-500.tsx","➖","Error page - no RBAC needed","",""
"react\src\feature-module\pages\gallery\index.tsx","➖","Static page - no RBAC needed","",""
"react\src\feature-module\pages\pricing\index.tsx","➖","Static page - no RBAC needed","",""
"react\src\feature-module\pages\privacy-policy\index.tsx","➖","Static page - no RBAC needed","",""
"react\src\feature-module\pages\profile\index.tsx","➖","Profile page - no RBAC needed","",""
"react\src\feature-module\pages\search-result\index.tsx","➖","Search page - no RBAC needed","",""
"react\src\feature-module\pages\terms-condition\index.tsx","➖","Static page - no RBAC needed","",""
"react\src\feature-module\pages\timeline\index.tsx","➖","Static page - no RBAC needed","",""
"react\src\feature-module\pages\comingSoon.tsx","➖","Static page - no RBAC needed","",""
"react\src\feature-module\pages\starter.tsx","➖","Static page - no RBAC needed","",""
"react\src\feature-module\pages\underConstruction.tsx","➖","Static page - no RBAC needed","",""
"react\src\feature-module\pages\underMaintenance.tsx","➖","Static page - no RBAC needed","",""
"react\src\feature-module\mainMenu\layout-dashoard\index.tsx","➖","Layout component - no RBAC needed","",""
"react\src\feature-module\router\router.jsx","➖","Router configuration - no RBAC needed","",""
"react\src\feature-module\router\router.link.tsx","➖","Router configuration - no RBAC needed","",""
"react\src\feature-module\router\all_routes.tsx","➖","Route definitions - no RBAC needed","",""
"react\src\feature-module\tables\basicTable.tsx","➖","Table component - no RBAC needed","",""
"react\src\feature-module\tables\dataTable.tsx","➖","Table component - no RBAC needed","",""
"react\src\config\fieldPermissions.ts","➖","Configuration file - no RBAC needed","",""
"react\src\services\api.ts","➖","API service - no RBAC needed","",""
"react\src\services\AuthProvider.tsx","➖","Auth provider - no RBAC needed","",""
"react\src\types\*.ts","➖","Type definitions - no RBAC needed","",""
"react\src\utils\*.ts","➖","Utility functions - no RBAC needed","",""
"react\src\environment.tsx","➖","Environment config - no RBAC needed","",""
